
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2020.06.15 11:42:29  39.3473   40.7413       15.3      -.-  1.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:41:45  35.3900   22.9853       10.7      -.-  3.4  3.4   GIRIT ADASI (AKDENIZ)                             İlksel
2020.06.15 11:40:49  39.3770   40.7058       19.2      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 11:35:29  39.3790   40.6825       21.1      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 11:35:12  39.3680   40.7308       10.9      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:30:40  39.3785   40.7383        6.8      -.-  2.3  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:29:36  39.6015   29.6342        0.0      -.-  1.5  -.-   GUMUSGOLCUK-TAVSANLI (KUTAHYA)                    İlksel
2020.06.15 11:26:24  39.3782   40.7128       15.4      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 11:24:45  39.3883   40.6995       19.4      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 11:23:45  39.3813   40.6732       29.3      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 11:22:02  39.3817   40.7540       12.6      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:20:27  39.3452   40.7428        5.4      -.-  2.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:16:58  39.3538   40.7842        4.0      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 11:14:54  39.3605   40.6595       12.4      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 11:08:13  39.3833   40.7422       17.3      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:52:46  39.3267   40.6862        7.9      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:50:26  39.4125   40.7277       22.3      -.-  2.0  -.-   SOBECAYIR-CAT (ERZURUM)                           İlksel
2020.06.15 10:47:58  39.3428   40.6833        1.8      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:40:10  39.3642   40.7070        7.2      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:36:41  39.3367   40.7490        5.0      -.-  3.1  3.2   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:32:37  39.3655   40.7662        5.0      -.-  3.9  4.0   KAYNARPINAR-KARLIOVA (BINGOL)                     REVIZE01   (2020.06.15 10:32:37)
2020.06.15 10:27:12  39.3422   40.7242        9.2      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:26:18  39.2985   40.4255        4.6      -.-  2.0  -.-   YELDEGIRMENI-ADAKLI (BINGOL)                      İlksel
2020.06.15 10:25:10  39.2730   40.6288       16.5      -.-  1.8  -.-   AKTAS-ADAKLI (BINGOL)                             İlksel
2020.06.15 10:23:01  39.3410   40.7685       19.3      -.-  1.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:22:14  39.3587   40.6988       13.7      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:21:50  39.3793   40.7253        8.9      -.-  2.3  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:21:07  39.3678   40.7283       10.2      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:18:30  39.3895   40.6763       16.0      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:17:31  39.3500   40.7462       14.6      -.-  2.3  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:16:47  39.3625   40.7468       12.9      -.-  2.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:15:13  39.3853   40.6983       13.3      -.-  2.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:14:36  39.3468   40.6932        5.0      -.-  3.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:10:10  39.3640   40.6753        5.2      -.-  2.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:08:03  39.3690   40.7425        7.1      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:06:03  39.3655   40.7527       15.4      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:05:26  39.3928   40.7635       10.3      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 10:01:57  39.3707   40.7130        3.8      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 10:00:39  39.3612   40.7027        7.5      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          REVIZE01   (2020.06.15 10:00:38)
2020.06.15 09:51:28  39.3537   40.7510        5.0      -.-  5.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 09:46:39  39.3685   40.7445        5.4      -.-  2.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 09:38:51  39.0143   29.9522        5.2      -.-  2.3  -.-   PINARCIK-ALTINTAS (KUTAHYA)                       İlksel
2020.06.15 09:36:40  39.3620   40.7000        7.9      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 09:24:37  39.3787   40.7547       13.1      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 09:22:44  39.3800   40.7413       14.3      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 09:18:06  39.3667   40.5480       11.8      -.-  1.9  -.-   SENKOY-YEDISU (BINGOL)                            İlksel
2020.06.15 09:09:58  39.3755   40.7557       20.4      -.-  2.0  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 09:06:33  39.3530   40.6932        5.0      -.-  2.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 08:56:30  40.8745   28.2572       13.8      -.-  1.6  -.-   SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)        İlksel
2020.06.15 08:46:35  38.9502   27.8760        1.9      -.-  2.6  -.-   CAMONU-AKHISAR (MANISA)                           İlksel
2020.06.15 08:30:56  39.3632   40.7387        7.3      -.-  2.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 08:30:02  39.3593   40.7292        5.0      -.-  3.5  3.7   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 08:27:54  38.3895   39.1375        4.9      -.-  0.8  -.-   USLU-SIVRICE (ELAZIG)                             REVIZE01   (2020.06.15 08:27:56)
2020.06.15 08:12:36  39.3402   40.7283        5.0      -.-  2.3  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 08:03:58  37.1133   28.6143        7.9      -.-  2.4  -.-   ARICILAR-ULA (MUGLA)                              İlksel
2020.06.15 07:55:28  39.3928   25.5612        9.1      -.-  2.5  -.-   EGE DENIZI                                        İlksel
2020.06.15 07:36:49  39.3682   40.6440        6.3      -.-  2.0  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 07:34:06  39.3302   40.7257        5.0      -.-  2.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 07:24:58  39.3913   40.7048        6.7      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          REVIZE01   (2020.06.15 07:24:58)
2020.06.15 07:13:11  39.3668   40.6185       11.1      -.-  1.8  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 07:12:10  39.3735   40.6702       11.0      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 07:09:02  38.2982   38.8512       19.7      -.-  1.4  -.-   GUNDEGER-PUTURGE (MALATYA)                        REVIZE01   (2020.06.15 07:09:02)
2020.06.15 07:04:18  39.3535   40.6480        4.6      -.-  1.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 06:43:53  39.3457   40.6568        5.5      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 06:21:35  39.3487   40.7258        5.0      -.-  2.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 06:19:33  39.3630   40.6128        5.1      -.-  2.2  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 06:16:51  38.4183   39.1998        4.6      -.-  1.1  -.-   YEDIPINAR-SIVRICE (ELAZIG)                        İlksel
2020.06.15 06:08:37  39.3722   40.7238       10.9      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 06:04:18  39.3607   40.6467       11.8      -.-  1.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 06:02:48  39.3925   40.7303       12.9      -.-  1.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 05:54:22  39.3575   40.6433       12.4      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 05:51:20  39.6432   26.1110        5.4      -.-  1.7  -.-   KOSEDERE-AYVACIK (CANAKKALE)                      İlksel
2020.06.15 05:46:46  39.3380   40.6937        5.0      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 05:24:50  39.3743   40.6862        5.6      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 05:06:04  39.3682   40.6883        5.4      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:53:25  36.8727   27.4557        5.3      -.-  1.7  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2020.06.15 04:53:09  39.3585   40.6757        6.1      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:32:44  39.3508   40.7322       10.0      -.-  1.8  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 04:25:47  36.8560   27.3780        5.0      -.-  1.9  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2020.06.15 04:25:28  39.3280   40.7197        5.0      -.-  1.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:24:52  39.3850   40.7348       14.4      -.-  1.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 04:23:29  39.3510   40.7075       11.0      -.-  1.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:21:05  39.3648   40.7010       10.4      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:14:29  39.3902   40.6677       18.3      -.-  1.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:13:58  39.3642   40.6900       14.6      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 04:12:13  39.3707   40.7427        5.4      -.-  1.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 04:08:42  39.3810   40.6773       10.8      -.-  1.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 03:58:46  38.7607   25.6607        6.9      -.-  2.2  -.-   EGE DENIZI                                        İlksel
2020.06.15 03:58:46  38.8755   29.0192       22.8      -.-  1.2  -.-   CAKIRLAR-SIMAV (KUTAHYA)                          İlksel
2020.06.15 03:58:19  39.3623   40.7425        5.0      -.-  2.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 03:56:12  39.3253   40.7152        5.0      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 03:50:08  39.3638   40.6723        5.5      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 03:33:52  39.3385   40.7145        5.0      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 03:31:50  39.3667   40.7158       13.4      -.-  1.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 03:31:16  39.3628   40.6865        9.1      -.-  1.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 03:25:01  39.3325   40.7560        5.0      -.-  2.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 03:14:40  39.3553   40.7110        2.0      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 03:03:33  39.3583   40.7457        4.2      -.-  2.0  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 03:02:46  39.3455   40.6725        4.7      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 02:59:17  39.3393   40.7505        5.0      -.-  2.8  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 02:55:25  39.3483   40.6155        2.7      -.-  2.3  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 02:53:40  39.3778   40.6297        4.7      -.-  1.7  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 02:47:22  39.3650   40.7428        3.6      -.-  1.5  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 02:44:41  39.3588   40.7295        9.6      -.-  1.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 02:43:21  39.3673   40.6977       13.1      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 02:41:19  39.3560   40.7538        5.1      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 02:39:58  39.1042   29.1313        8.8      -.-  1.5  -.-   SENKOY-SIMAV (KUTAHYA)                            İlksel
2020.06.15 02:37:58  39.3553   40.6683        2.6      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 02:34:21  39.3520   40.6868        5.1      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 02:25:17  38.4183   39.2812        8.4      -.-  1.3  -.-   YEDIKARDES-SIVRICE (ELAZIG)                       İlksel
2020.06.15 02:15:06  36.9842   28.5167        5.2      -.-  1.1  -.-   CORUS-ULA (MUGLA)                                 İlksel
2020.06.15 02:12:15  39.3427   40.6397        5.4      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 02:01:44  39.3442   40.7508        5.0      -.-  1.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 01:53:17  39.3597   40.6673        5.0      -.-  3.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:48:13  39.3705   40.4715        8.6      -.-  1.9  -.-   GUZGULU-YEDISU (BINGOL)                           İlksel
2020.06.15 01:46:36  37.6033   38.6135       15.6      -.-  1.7  -.-   BELOREN-KAHTA (ADIYAMAN)                          İlksel
2020.06.15 01:40:35  39.3645   40.7027        5.0      -.-  3.8  3.9   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:36:23  39.3702   40.7145        5.0      -.-  2.3  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 01:33:58  39.4067   40.6452       20.6      -.-  1.7  -.-   ELMALI-YEDISU (BINGOL)                            REVIZE01   (2020.06.15 01:33:57)
2020.06.15 01:32:58  39.3648   40.6205        4.5      -.-  1.7  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 01:31:08  39.3490   40.6533        5.1      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:20:58  39.3637   40.6892        5.0      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:19:32  39.3442   40.7115        6.0      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:11:18  39.3487   40.6808       10.8      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:09:21  39.3483   40.7295        5.0      -.-  2.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 01:04:59  39.3865   40.6700       19.7      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 01:04:33  39.3693   40.7258        7.7      -.-  1.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 01:01:39  39.3420   40.6937        5.5      -.-  1.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:58:53  39.3453   40.7020        1.6      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:56:59  39.3508   40.7448        5.2      -.-  1.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:55:33  39.3300   40.7627        5.0      -.-  2.0  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:54:31  39.3723   40.7238        5.2      -.-  1.9  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:47:57  39.3958   40.6862       16.0      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:47:10  39.3963   40.6687       18.4      -.-  1.5  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 00:46:09  39.3720   40.6225       18.7      -.-  1.8  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 00:39:03  39.3728   40.7098        1.1      -.-  2.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:38:13  39.3783   40.7172        8.4      -.-  2.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:35:19  39.3918   40.7153       15.0      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:34:21  39.3687   40.7002       15.8      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:33:21  39.3610   40.7187        8.9      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:30:04  39.3973   40.6760       15.3      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:20:36  39.3660   40.6808        3.2      -.-  2.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:17:57  39.3622   40.7135        5.0      -.-  3.8  3.9   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:17:04  39.3685   40.7305       15.2      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:12:12  39.3487   40.6378       18.5      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 00:06:19  39.3575   40.7195        5.0      -.-  3.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 00:04:03  39.3793   40.6490       14.9      -.-  1.5  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 00:00:37  39.3735   40.6672       13.2      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 23:59:39  39.3937   40.7195       15.6      -.-  1.8  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 23:57:33  39.3798   40.7102       14.6      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 23:56:56  39.3862   40.7105       15.8      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 23:55:20  39.3902   40.6563       17.7      -.-  2.2  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 23:52:38  39.3617   40.7297        2.5      -.-  2.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 23:46:18  39.3930   40.6427       24.8      -.-  1.4  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 23:41:53  39.3663   40.7162       11.4      -.-  1.8  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 23:40:07  37.0067   28.1468       18.0      -.-  1.2  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2020.06.14 23:37:01  39.3783   40.6302       15.9      -.-  1.9  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 23:34:01  39.0147   27.8365       12.7      -.-  1.6  -.-   GOKCEAHMET-AKHISAR (MANISA)                       İlksel
2020.06.14 23:33:59  39.3798   40.6497       15.6      -.-  2.2  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 23:26:08  39.3677   40.6327        6.8      -.-  2.2  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 23:21:16  39.3867   40.6385       20.6      -.-  2.1  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 23:20:01  37.3482   35.8080       23.0      -.-  1.4  -.-   YASSICALI-KOZAN (ADANA)                           İlksel
2020.06.14 23:15:39  39.3510   40.6888        4.1      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 23:14:24  39.3697   40.7935       16.4      -.-  2.0  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     REVIZE01   (2020.06.14 23:14:23)
2020.06.14 23:05:45  38.4317   39.2448        5.0      -.-  1.8  -.-   KURKKOY-SIVRICE (ELAZIG)                          İlksel
2020.06.14 23:03:28  39.3750   40.6852       14.7      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 23:01:13  39.3840   40.7112       16.9      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:58:35  39.3928   40.7152       19.3      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 22:58:22  39.3655   40.7110       15.5      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:55:28  39.3682   40.6967        7.2      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:54:41  39.3802   40.6218       15.5      -.-  1.8  -.-   ELMALI-YEDISU (BINGOL)                            REVIZE01   (2020.06.14 22:54:39)
2020.06.14 22:53:18  39.3798   40.6423       16.3      -.-  1.9  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 22:51:24  39.3733   40.6460        1.9      -.-  2.0  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 22:49:11  39.3945   40.7272       21.6      -.-  2.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 22:46:24  40.8005   25.6082        7.6      -.-  1.9  -.-   EGE DENIZI                                        İlksel
2020.06.14 22:43:25  39.3423   40.6835        5.0      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:39:42  39.3592   40.6432        4.5      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:31:51  39.3833   40.6592       12.8      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          REVIZE01   (2020.06.14 22:31:49)
2020.06.14 22:29:09  39.3700   40.6740        4.0      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:24:31  39.3838   40.6938       19.4      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:17:41  39.3547   40.7287        3.4      -.-  2.0  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 22:10:54  39.3680   40.7073        8.3      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:10:31  39.3797   40.6418       17.4      -.-  1.8  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 22:08:59  39.3860   40.6168       17.4      -.-  2.0  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 22:04:23  39.3930   40.7092       20.4      -.-  1.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 22:02:52  39.3732   40.6642       15.6      -.-  2.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:58:47  39.3790   40.7255       17.4      -.-  1.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 21:57:29  39.3927   40.6833       23.6      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:57:13  39.3422   40.6857       14.8      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:54:09  39.3448   40.7557        5.0      -.-  3.7  3.8   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 21:48:06  39.3517   40.7218        5.0      -.-  2.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 21:45:01  39.3607   40.7100        5.0      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:42:25  39.3627   40.6962        5.0      -.-  2.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:40:54  39.3943   40.6580       17.7      -.-  1.7  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.14 21:36:42  39.3670   40.7083        1.2      -.-  1.6  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:34:45  39.3668   40.7380        5.0      -.-  1.8  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.14 21:32:40  39.3270   40.6770        5.0      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:28:21  39.3553   40.7067        5.3      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:27:14  39.3773   40.6733        5.4      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:26:22  39.3695   40.7085        4.1      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:25:06  39.3322   40.6765        5.0      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:24:30  36.1478   29.7135        5.0      -.-  1.3  -.-   BAYINDIR-KAS (ANTALYA)                            İlksel
2020.06.14 21:16:57  39.3458   40.6932        5.4      -.-  1.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.14 21:13:27  39.3605   40.7007        3.8      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
